"subj_idx","response","rt","dist","dist_newold"
106,1,1.06583078099993,3,"new3"
106,1,1.20768264599974,1,"new1"
106,1,0.967795776000457,2,"old2"
106,1,1.17603046899967,2,"new2"
106,1,0.786637530000007,2,"new2"
106,1,0.907603200999802,2,"old2"
106,1,1.24059997699987,2,"old2"
106,1,1.65425145800054,1,"new1"
106,1,1.7134001860004,1,"new1"
106,1,1.70227352700022,3,"new3"
106,1,2.04585286899965,1,"new1"
106,1,1.1055564620001,3,"new3"
106,1,1.80193507199965,3,"new3"
106,1,2.58225442000003,2,"old2"
106,0,1.47814642499998,3,"new3"
106,1,1.90818996300004,2,"new2"
106,1,3.0553953890003,2,"old2"
106,0,1.23493471399979,2,"new2"
106,0,2.56808702499984,1,"new1"
106,1,3.65675740400002,3,"new3"
106,1,2.1156308059999,1,"new1"
106,0,1.53270887599956,3,"new3"
106,1,1.07974984500015,2,"new2"
106,0,1.02102216800085,3,"new3"
106,1,1.49259378700026,1,"new1"
106,1,1.3927002140008,1,"new1"
106,1,2.46352961100001,2,"new2"
106,1,2.28874497199922,2,"new2"
106,1,3.71034606000012,1,"new1"
106,1,1.67340098799923,2,"new2"
106,1,1.10147560200039,3,"new3"
106,1,1.65117245400052,2,"new2"
106,1,1.09730780999962,1,"new1"
106,1,1.21315442600007,2,"old2"
106,1,1.62407099400025,2,"new2"
106,0,1.49941630199919,2,"new2"
106,1,1.26230358500015,3,"new3"
108,1,2.80764991200022,3,"new3"
108,0,2.05388920900032,3,"new3"
108,1,1.672547442,1,"new1"
108,0,1.29692991799993,2,"new2"
108,1,2.4456034939999,2,"new2"
108,0,3.99442317800003,3,"new3"
108,1,2.35138709300008,2,"new2"
108,1,2.11838524299992,2,"new2"
108,1,1.58831757400003,2,"new2"
108,0,2.75486533899993,1,"new1"
108,1,4.34913810499984,2,"old2"
108,1,3.10999457800017,2,"new2"
108,1,2.45590355399963,2,"old2"
108,1,3.41796718500018,3,"new3"
108,1,3.49343480500011,2,"new2"
108,1,1.63323920799985,1,"new1"
108,1,2.01709860599976,2,"new2"
108,1,1.66425220000019,2,"old2"
108,1,1.34127184299996,3,"new3"
108,1,1.65766950599982,1,"new1"
108,0,2.09795714400025,3,"new3"
108,1,2.3598421239999,3,"new3"
108,1,2.44519081399994,2,"old2"
108,1,1.34159319000037,2,"new2"
108,0,1.24054784800001,2,"old2"
108,1,1.97345100499979,2,"new2"
108,0,2.15643025100007,2,"old2"
108,1,1.51802613200016,1,"new1"
108,1,1.32487082700027,2,"new2"
108,1,1.31229503199984,3,"new3"
108,0,3.34017670000003,1,"new1"
108,1,3.40197606799984,1,"new1"
108,1,1.48465149499998,2,"old2"
108,0,3.44243597700006,3,"new3"
108,1,3.44038355299972,2,"new2"
108,0,3.35317251200013,2,"old2"
108,0,NA,1,"new1"
108,1,1.63896264699997,1,"new1"
108,1,1.65604627599987,1,"new1"
108,1,1.68762933899961,2,"old2"
108,1,2.23049316200013,3,"new3"
108,1,1.50579030800009,1,"new1"
108,1,3.28852971299966,0,"new0"
108,1,1.67544393300022,1,"new1"
108,1,2.46833272100002,2,"new2"
108,1,2.64044198200008,2,"old2"
108,1,1.86928328499971,0,"new0"
108,1,3.860177475,1,"new1"
108,1,1.7497961969998,1,"new1"
108,1,2.26367661899985,1,"new1"
108,1,2.18966270200008,2,"old2"
108,0,1.45765274999985,2,"new2"
108,1,1.62651101600022,2,"old2"
108,1,2.09159616199986,2,"old2"
108,1,2.95923135300018,2,"old2"
108,1,1.26319484099986,3,"new3"
108,0,1.69208104200015,3,"new3"
108,0,1.49393801700035,3,"new3"
108,0,2.73500641700002,2,"old2"
108,1,2.80491478100021,3,"new3"
108,0,2.78465045100029,3,"new3"
108,1,1.78262480299963,3,"new3"
108,1,3.25770241999999,2,"new2"
108,1,2.67044201499994,2,"old2"
108,1,1.78140620800013,1,"new1"
108,1,2.70102352699996,0,"new0"
108,0,2.45488398099997,2,"new2"
108,1,2.04631040100003,0,"new0"
109,1,2.59865695900044,1,"new1"
109,0,3.68321241300055,2,"old2"
109,0,NA,3,"new3"
109,0,2.08002577400111,2,"old2"
109,0,4.54560089699953,2,"new2"
109,1,2.17904454000018,2,"new2"
109,1,2.0656759479989,1,"new1"
109,0,3.24448693599879,1,"new1"
109,0,4.52268502799961,2,"old2"
109,0,4.45449537700006,2,"old2"
109,0,4.14923397799976,3,"new3"
109,0,4.11129351400086,2,"new2"
109,1,1.57311825699981,0,"new0"
109,0,2.69819402200119,1,"new1"
109,0,3.73248403300022,2,"new2"
109,1,4.01102679500036,3,"new3"
109,1,1.83694620000097,2,"old2"
109,0,4.09286916200108,1,"new1"
109,1,4.3496373779999,3,"new3"
109,0,2.89978841399898,2,"old2"
109,1,1.43684376500096,2,"old2"
109,0,2.24895579999975,2,"old2"
109,1,1.52860758000134,2,"old2"
109,1,1.48600373699992,2,"old2"
109,1,1.63874883499921,1,"new1"
109,1,2.84780569199938,1,"new1"
109,0,3.44832416099962,3,"new3"
109,1,2.00337940999998,2,"new2"
109,1,3.00967065699842,1,"new1"
109,1,1.81440391099932,2,"old2"
109,0,4.22942660100125,1,"new1"
109,1,2.40703148499961,2,"new2"
109,1,1.36510685400026,2,"old2"
109,1,2.54606944300031,2,"new2"
109,1,2.08198447299947,2,"old2"
109,0,2.74904588100071,3,"new3"
109,0,2.69006553300096,3,"new3"
109,1,1.97219127199969,0,"new0"
109,0,3.84122415100137,3,"new3"
109,1,4.07095861599919,3,"new3"
109,1,1.45298857700072,3,"new3"
109,1,2.59176115400078,1,"new1"
109,0,3.88165240000126,1,"new1"
109,1,2.63577283999985,1,"new1"
109,1,1.43658004200006,2,"old2"
109,0,2.38270751800155,3,"new3"
109,0,2.38225987599981,3,"new3"
109,0,2.25136279500111,2,"new2"
109,1,1.82431161600107,1,"new1"
109,0,1.13645403600094,3,"new3"
109,0,1.95128307100094,2,"old2"
109,1,1.75912483799948,3,"new3"
109,1,2.94457830700048,2,"new2"
109,1,1.03477433800072,1,"new1"
109,0,2.09894406999956,2,"new2"
109,1,1.92685850799899,2,"new2"
109,0,2.23285943200062,3,"new3"
109,1,1.28091112199945,0,"new0"
109,0,2.47998967100102,2,"new2"
109,1,2.14170211300006,0,"new0"
109,1,1.39063942200119,1,"new1"
109,1,3.6808791780004,2,"new2"
109,0,3.3637712689997,2,"new2"
109,0,1.57062602200131,2,"new2"
109,1,4.2028043199989,3,"new3"
109,1,1.7534265359991,1,"new1"
109,1,2.15560306999942,2,"new2"
109,1,2.41432913300014,2,"old2"
110,0,NA,2,"new2"
110,0,1.93385393700009,2,"new2"
110,0,2.44474774900118,3,"new3"
110,1,2.44170577800105,3,"new3"
110,1,2.4722725369993,2,"new2"
110,1,1.90903718899972,0,"new0"
110,1,2.01496936500007,2,"old2"
110,0,4.90296073900026,1,"new1"
110,1,1.95110400799967,2,"old2"
110,1,1.45473014599884,2,"new2"
110,1,3.95576892200006,2,"new2"
110,1,2.1255419170011,2,"old2"
110,1,2.72987522200128,3,"new3"
110,0,1.82872727899849,2,"old2"
110,0,1.45866882200062,3,"new3"
110,1,2.82434189200103,2,"old2"
110,1,4.32390241400026,2,"old2"
110,1,3.3061161530004,2,"new2"
110,0,NA,3,"new3"
110,1,2.2045748269993,0,"new0"
110,1,2.84077789900039,2,"old2"
110,1,3.43541285399988,3,"new3"
110,0,4.11355445400113,1,"new1"
110,1,3.67722824900011,1,"new1"
110,1,3.3043813610002,2,"new2"
110,0,3.76216952300092,3,"new3"
110,1,2.44197153499954,3,"new3"
110,1,2.89304862499921,2,"new2"
110,1,4.03885836399968,3,"new3"
110,1,4.33984851700006,3,"new3"
110,1,1.74949702200138,2,"new2"
110,0,2.01528375599992,2,"old2"
110,1,3.16653667799983,0,"new0"
110,1,3.29883474300004,3,"new3"
110,1,2.82433322399993,1,"new1"
110,0,NA,3,"new3"
110,0,NA,2,"new2"
110,0,3.81564696500027,2,"new2"
110,0,4.18032536499959,3,"new3"
110,1,4.64251959600006,2,"old2"
110,1,4.22042989799957,1,"new1"
110,1,1.71647879500051,1,"new1"
110,1,3.55304657299894,1,"new1"
110,1,2.20846348199848,1,"new1"
110,0,NA,2,"new2"
110,1,1.4239938160008,2,"old2"
110,1,1.86993307800003,2,"new2"
110,1,2.54763513200123,2,"old2"
110,1,1.96168966699952,1,"new1"
110,1,2.22431157699975,2,"old2"
110,1,2.56612890900033,2,"old2"
110,0,2.62937564100139,3,"new3"
110,1,1.59826021899971,1,"new1"
110,1,1.64919539899893,2,"new2"
110,1,1.48090133900041,1,"new1"
110,1,2.76979073399889,0,"new0"
110,1,1.47382608599946,2,"old2"
110,1,1.53161817299952,1,"new1"
110,1,1.65996164499848,3,"new3"
110,0,NA,1,"new1"
110,1,1.81380559499848,1,"new1"
110,1,1.10613067899976,2,"old2"
110,1,1.99510404200009,1,"new1"
110,0,NA,2,"new2"
110,0,NA,2,"new2"
110,0,2.11956268199901,3,"new3"
110,1,2.54101282000011,1,"new1"
110,1,2.25023345900081,2,"old2"
112,0,NA,3,"new3"
112,0,4.5818347860004,3,"new3"
112,1,1.84662841599857,2,"old2"
112,1,3.1796430530012,2,"new2"
